Cell Type	X	Y	Layer
3	256.63	3004	3
1	257	776.09	5
1	257.01	3535.71	2
1	258.62	3552.15	2
3	259.82	1860.42	3
1	260.29	1275.55	5
1	261.26	1216.01	5
1	261.6	1512.84	4
1	261.65	1617.85	4
3	262.24	1321.92	5
1	262.45	2347.96	3
1	263.22	3793.51	1
3	263.28	1965.94	3
3	263.32	3622.44	2
1	263.51	1316.82	5
1	263.78	3449.54	2
1	264.1	1714.47	4
1	264.25	2813.08	3
1	265.37	3558.8	2
1	265.43	1682.81	4
1	265.61	1894.88	3
1	266.73	3684.42	1
3	267.86	500.53	6
1	268.25	1957.06	3
1	268.28	1481.78	5
1	268.55	665.22	6
3	269.07	1699.23	4
3	269.27	924.98	5
1	270.21	3017.69	3
1	270.3	1147.91	5
1	270.43	784.96	5
1	271.39	1546.47	4
1	271.42	601.89	6
1	272.61	571.93	6
1	273.1	1049	5
1	273.73	528.34	6
1	275.11	3488.74	2
1	275.33	3363.77	3
1	275.7	1487.18	5
1	276.05	611.59	6
1	276.84	477.67	6
1	277.56	3535.71	2
1	277.92	1788.57	4
1	278.1	3439.78	2
1	278.12	1611.71	4
1	278.27	899.26	5
1	278.65	3581.81	2
1	279.24	427.72	6
1	279.55	1054.66	5
3	280	817.51	5
1	280.05	1924.81	3
3	281.1	3753.16	1
3	281.83	623.65	6
1	281.94	3485.78	2
3	282.35	414.63	6
1	282.6	2073.53	3
1	282.66	3551.7	2
1	282.89	1010.8	5
1	282.94	2590.52	3
1	283.29	941.99	5
3	284.31	3533.34	2
1	284.51	3764.69	1
1	285.59	2033.95	3
1	285.89	3454.28	2
1	286.29	2211.4	3
1	286.44	3613.98	2
1	286.85	2322.96	3
1	287	633.14	6
1	287.05	1852.95	3
1	287.37	2555.71	3
1	287.39	276.86	6
1	288.47	3481.57	2
3	288.82	1036.69	5
1	288.86	2413.79	3
1	290.11	2500.16	3
1	290.7	708.73	5
1	291.11	842.46	5
3	291.3	2659.33	3
1	291.97	3264.41	3
1	292.61	1546.99	4
1	292.93	2013.84	3
1	293.94	3595.27	2
1	294.52	2734.26	3
1	294.64	2683.96	3
1	294.69	1321.75	5
1	295.58	1790.79	4
1	295.9	1979.37	3
1	297.28	1288.24	5
1	297.43	798.5	5
1	299.14	1862.78	3
3	299.53	2030.48	3
1	300.13	1093.27	5
1	301.32	515.69	6
1	301.32	944.5	5
1	301.86	2785.74	3
1	302.35	2016.94	3
1	302.68	3504.74	2
1	302.72	1679.11	4
1	303.02	1722.98	4
3	303.49	2725.83	3
3	303.54	1216.45	5
1	303.54	2702.97	3
1	304.21	909.37	5
3	304.42	3466.55	2
3	305.25	1397.81	5
1	305.32	1054.37	5
1	305.79	2866.41	3
3	307.35	1523.3	4
1	307.62	1741.84	4
1	308.54	1602.02	4
1	308.76	2776.71	3
1	308.84	3166.56	3
3	308.87	3676.14	1
1	309.18	597.6	6
1	309.58	2128.85	3
3	309.72	1623.62	4
3	310.66	3193.33	3
3	310.91	2856.87	3
3	311.15	1294.97	5
1	311.3	1811.8	4
1	311.63	1397.22	5
3	311.81	2231.08	3
3	312.2	2951.27	3
3	312.82	523.23	6
1	313.15	3608.21	2
3	313.19	2467.52	3
1	313.41	3232.24	3
1	313.98	38.32	6
1	314.32	2889.26	3
3	314.42	978.63	5
1	314.82	1100.67	5
3	315.29	105.02	6
1	315.39	2973.83	3
3	315.56	1086.91	5
1	317.07	2742.17	3
1	318.9	3049.89	3
1	319.56	3213.52	3
3	319.64	3095.89	3
1	319.79	1677.93	4
1	320.09	1357.64	5
1	320.44	2084.92	3
1	320.68	574.15	6
3	320.78	2148.38	3
1	321.03	3692.8	1
1	321.92	340.64	6
1	322.95	1482.22	5
1	323.25	768.47	5
1	323.77	1314.8	5
1	323.87	3449.67	2
1	324.14	3338.15	3
3	324.86	871.52	5
1	326.12	3498.23	2
1	326.69	1418.59	5
1	326.81	3386.3	3
1	326.86	1593.34	4
1	328.52	322.82	6
3	328.61	2538.55	3
1	328.94	1940.2	3
1	329.14	3395.6	3
1	329.23	1531.51	4
1	329.87	3301.54	3
3	330.15	1461.44	5
1	332.18	1210.31	5
1	332.3	1808.69	4
1	332.87	3471.75	2
1	333.56	3210.71	3
3	334.13	2809.38	3
1	334.33	1671.5	4
1	334.56	2368.3	3
1	334.92	1373.55	5
3	335.47	143.41	6
3	335.66	1054	5
1	336.28	257.48	6
1	336.46	1858.05	3
1	337.57	2593.11	3
1	337.59	1180.33	5
1	337.8	3610.29	2
1	337.97	171.07	6
1	338.06	3530.11	2
1	338.07	3304.23	3
1	339.03	3253.19	3
3	339.38	2003.19	3
1	339.8	3216.26	3
3	340.04	2683.54	3
1	341.68	189.63	6
1	342.41	1637.37	4
1	342.51	1567.53	4
1	344.05	2698.26	3
3	344.71	1358.61	5
1	345.06	2326.79	3
3	345.13	807.01	5
1	345.31	575.78	6
1	345.45	2204.32	3
1	345.85	3492.98	2
3	346.02	3157.38	3
1	347	3591.5	2
1	348.72	2039.36	3
1	349.05	427.42	6
1	349.06	1304.52	5
1	349.3	3612.8	2
1	349.61	2896.81	3
1	349.66	1016.28	5
1	349.96	315.94	6
3	349.96	3689.62	1
1	350.87	624.04	6
1	350.99	2360.81	3
1	351.18	2758.64	3
1	351.25	1992.99	3
3	351.75	714.5	5
3	351.99	3425.33	2
1	352.04	2279.23	3
3	352.38	1587.35	4
1	352.75	3300.9	3
1	353.09	1157.03	5
1	353.25	2141.73	3
3	353.72	3279.75	3
1	354.04	1894.74	3
1	354.5	3588.47	2
3	355.24	742.38	5
1	355.25	545.82	6
1	355.69	1639.44	4
1	355.8	2829.16	3
3	355.89	2349.72	3
1	356.06	1599.72	4
3	356.49	1864.26	3
3	357	3077.13	3
1	357.25	218.04	6
1	357.91	3613.91	2
1	357.99	1613.41	4
1	358	3434.14	2
1	358.36	2987.22	3
1	358.76	873.82	5
1	359.1	736.69	5
1	359.27	2728.38	3
1	359.47	3558.73	2
3	359.97	2286.11	3
3	360.1	296.02	6
1	360.74	1671.79	4
1	360.89	1276.43	5
3	361.65	3530.33	2
3	361.94	3790.14	1
1	362	1363.71	5
1	362.2	2553.09	3
1	362.42	3352.28	3
3	363.26	3005.04	3
1	363.62	3583.44	2
3	363.68	1504.85	4
1	363.78	3457.29	2
1	363.92	1815.52	4
1	364.25	253.12	6
3	364.81	2884.23	3
3	365.33	1129.59	5
1	365.34	3407.95	2
1	365.53	2388.99	3
1	366.15	1179.29	5
1	366.96	1620.95	4
3	367.04	1809.31	4
1	368.6	911.52	5
1	368.63	3502.01	2
1	368.75	3399.59	3
1	369.59	836.83	5
1	370.13	2604.87	3
3	370.35	1303.18	5
3	370.95	982.77	5
1	371.25	2529.79	3
1	371.87	1118.13	5
1	372.08	3612.06	2
1	372.54	217.3	6
1	373.05	2241.38	3
3	373.12	2199.52	3
1	373.23	142.81	6
1	373.87	2951.27	3
3	375.34	3579.29	2
1	375.65	2209.5	3
1	376.42	3477.3	2
1	376.96	2437.86	3
1	378.02	2151.2	3
1	378.2	121.43	6
3	378.92	3797.09	1
1	379.04	1842.07	3
1	379.93	2480.31	3
1	380.29	1005.77	5
3	381.19	2055.96	3
3	381.63	2590.22	3
1	381.88	1716.17	4
1	383.49	2428.32	3
1	383.8	1656.38	4
1	384.08	1045.94	5
1	385.2	1857.53	3
1	385.5	578.58	6
1	385.57	420.38	6
1	385.64	3100.43	3
1	385.78	1363.07	5
