;	Marker Co	ordinate F	ile	
1	-295.12	1260.73	15.4	0.07
1	-228.85	1290.69	16.8	0.07
1	-197.99	1316.95	20.8	0.07
1	-116.36	1281.96	21.85	0.07
1	-107.46	1300.97	20.4	0.07
1	-156.87	1285.88	17.45	0.07
1	-66.95	1296.26	13.55	0.07
1	-6.64	1298.33	14.3	0.07
1	-24.74	1263.49	14.95	0.07
1	25.8	1260.81	19.75	0.07
1	30.62	1277.23	19.1	0.07
1	103.17	1312.66	18.65	0.07
1	91.23	1298.75	18.65	0.07
1	181.61	1293.95	19.7	0.07
1	133.1	1289.29	21.4	0.07
1	267.47	1296.83	15.7	0.07
1	313.32	1278.63	17.35	0.07
1	260.2	1253.56	17.85	0.07
1	290.91	1266.95	20.7	0.07
1	310.96	1193.35	20.25	0.07
1	241.08	1216.28	19.8	0.07
1	251.99	1220.05	14.9	0.07
1	173.6	1200.28	22.5	0.07
1	19.43	1218.95	16.2	0.07
1	76.4	1185.81	17.25	0.07
1	83.37	1228.56	17.6	0.07
1	-73.43	1191.11	20.8	0.07
1	-24.69	1197.17	17.55	0.07
1	-40.87	1202.87	13.5	0.07
1	-128.06	1188.52	14.7	0.07
1	-176.57	1236.08	20.25	0.07
1	-206.34	1174.22	18.65	0.07
1	-211.68	1197	16.75	0.07
1	-225.48	1219.78	14.65	0.07
1	-263.61	1228.8	13.95	0.07
1	-301.4	1228.34	13.05	0.07
1	-350.51	1187.95	16.85	0.07
1	-413.39	1188.52	14.55	0.07
1	-372.97	1108.02	18.55	0.07
1	-359.61	1153.29	17.9	0.07
1	-288.32	1152.11	15.9	0.07
1	-306.35	1098.56	12.8	0.07
1	-216.68	1123.95	13.55	0.07
1	-214.31	1156.86	18.1	0.07
1	-123.63	1153.71	20.3	0.07
1	-171.11	1158.59	19.6	0.07
1	-120.89	1098.16	14.55	0.07
1	-39.75	1127.79	13.35	0.07
1	-48.8	1151.09	13.75	0.07
1	115.89	1150.48	19.45	0.07
